City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
Warrington,United Kingdom,31.11,75.40,5.44,46000.00,33.91,29.01,9.55,33.10,32.43,6.27,6.92,202228.00,20.64,118200.00,6.22
Warsaw,Poland,35.97,65.46,48.47,59100.00,3.77,45.51,9.15,45.50,27.46,5.08,2.03,1708491.00,22.34,820000.00,5.02
Wiesbaden,Germany,28.42,74.35,10.79,64400.00,33.64,15.91,9.31,49.81,26.87,4.12,18.27,275976.00,31.28,167500.00,5.86
Wigan,United Kingdom,17.13,74.02,3.89,39400.00,24.00,36.66,12.72,35.39,35.07,7.60,2.58,317849.00,27.48,98700.00,7.72
Worthing,United Kingdom,23.32,79.28,2.28,49700.00,31.93,28.58,8.17,35.00,27.64,2.63,6.14,104640.00,38.24,45800.00,5.68
Wroclaw,Poland,26.48,59.22,9.50,40500.00,5.28,36.84,14.96,51.35,25.33,6.54,2.28,631235.00,26.69,234400.00,5.49
Würzburg,Germany,19.96,67.99,5.02,45000.00,37.14,9.35,10.21,46.76,27.66,3.31,25.38,133799.00,38.76,111700.00,4.42
Wuppertal,Germany,18.82,70.50,8.37,54500.00,22.90,25.30,22.27,53.05,28.19,3.91,24.54,349721.00,26.76,153600.00,8.78
York,United Kingdom,20.82,76.57,4.60,43400.00,41.39,24.41,4.20,30.23,41.50,4.09,11.60,198051.00,29.38,105900.00,5.90
Zaragoza,Spain,22.52,61.54,14.09,54200.00,38.83,36.58,11.00,24.24,32.89,7.47,9.33,678115.00,26.12,260000.00,18.63
Zurich,Switzerland,40.73,80.19,43.69,70100.00,44.75,16.67,5.76,37.01,27.51,4.04,74.24,590548.00,21.96,623300.00,4.04
Bratislava,Slovakia,,,,,,,,,,,,411228,,275522,
Helsinki,Finland,,,,,,,,,,,,591967,,,
Lisbon,Portugal,,,,,,,,,,,,547773,,,
Ljubljana,Slovenia,,,,,,,,,,,,271937,,,
Luxembourg,Luxembourg,,,,,,,,,,,,511840,,,
Oporto,Portugal,,,,,,,,,,,,237591,,,
Oslo,Norway,,,,,,,,,,,,606258,,,
Prague,Czech Republic,,,,,,,,,,,,1234000,,,
Vienna,Austria,,,,,,,,,,,,1703000,,,
